Index,Value1
,16452448
2,8882048
1,0
2,0
3,10722319
4,15461295
3,0
4,8355584
1,9898496
2,65952
1,16763199
2,789504
1,32512
2,8421439
3,9884015
4,263200
3,0
4,8684575
1,11508783
2,12632271
1,8389390
2,16579615
,"1396926382307"
2,1118464
1,8388637
2,921088
3,8650976
4,65952
3,249856
4,1052672
1,9619535
2,64
1,2031647
2,0
3,2488655
4,12040111
3,2097408
4,12632127
1,16669440
2,6316224
1,16286015
2,15855903
3,7292576
4,8816256
3,0
4,30
,1632223
1,0
2,15790111
3,4334336
4,12697967
3,16580895
4,0
1,3088736
2,11513824
1,12288
2,8421439
2,1842304
1,0
2,65792
3,10396175
4,1118464
3,916539
4,15329599
1,15400207
2,4210784
1,9372734
2,12632191
,309088
,453007
2,5789728
1,323615
2,8421407
3,14287648
4,12632143
3,4096015
4,65792
1,10436352
2,14737571
1,8452099
2,12632095
4,1328
3,15872
4,8421405
1,3225984
2,14474447
1,2097152
2,0
3,7795855
4,5263488
3,16547903
4,0
,12352463
,2108
1,0
2,15790111
3,3942624
4,14211087
3,0
4,0
1,5047424
2,192
1,3552822
2,0
,1837792
3,0
4,0
1,6494976
2,16579680
1,59392
2,15724319
3,4325504
4,12171631
3,0
4,197376
,2425312
4,15000775
3,130567
4,4210751
1,12851200
2,7171552
1,30464
2,16448031
3,5255680
4,3816128
3,16704319
4,0
,11991
2,12632303
1,7110669
2,0
3,9382656
4,7500512
3,8386591
4,789504
1,16170575
2,9803232
1,524288
2,13553183
,16711872
2,2105472
1,3815994
2,0
3,11656879
4,7631872
3,2096927
4,128
1,9694511
2,8618895
1,780
2,10526779
3,6324225
4,15790109
1,3342095
2,2302848
1,0
2,13092638
3,1156879
4,16777088
3,11659520
4,10000447
1,417792
2,65792
3,15076832
4,15395567
3,835712
4,0
1,16276160
2,1710688
1,4096
2,0
4,2829248
3,65055
4,4144957
1,5236335
2,658048
1,16621631
2,65792
3,10399264
4,15790243
3,62467
4,131584
,1664351
"17601",0
2,65792
3,14475599
4,11184719
3,16318271
4,63
1,14427584
2,7368832
1,8855359
2,197376
,13295279
4,16184975
3,65662
4,1710592
1,12709967
2,10461167
1,0
2,1842176
3,7640559
4,1973920
3,196992
4,9474111
1,2966304
2,14276943
1,12615424
2,1579008
3,11518255
4,16645504
3,1757312
4,1052672
1,1762383
2,96
1,16350236
2,1118464
3,10818944
4,2500288
3,1049728
4,855296
1,5432623
2,2763328
1,8388608
2,0
3,5635055
4,13750671
3,98304
4,65792
,966657
4,14276911
3,12509967
4,460544
1,11061647
2,14869007
1,4178175
2,13684863
3,12266368
4,10789984
3,0
4,0
1,7841295
2,15000775
1,4186119
2,16579643
3,9245408
4,32
3,0
4,0
1,8935296
2,3223808
1,16762911
2,12237375
3,13826575
4,15592801
3,232449
4,127
1,14109728
2,15856067
1,15286275
2,921088
3,8395968
4,15592847
3,1048576
4,4079135
1,4002784
2,15132271
1,9961472
2,8421407
3,13566240
4,96
3,8855423
4,1052672
1,12992
2,263328
1,768
2,14737439
3,3739296
4,16316547
3,1802243
4,131711
1,11212160
2,13816495
1,849920
2,2039552
3,2859279
4,15198080
3,0
4,1118464
3,14816544
4,4210912
3,462398
4,13684863
1,7062287
2,263264
1,254015
2,0
3,13826639
4,10921583
3,15757183
4,2105344
2,16316545
1,9486081
2,13684799
3,16382703
4,15132207
3,768
4,29
1,7052416
2,16645377
1,323585
2,526336
,13710432
4,14803239
3,8388870
4,0
1,11143008
2,1052736
1,1081344
2,8421405
3,977295
4,16579683
3,1046531
4,10198015
1,1139
2,5592544
1,0
2,592128
3,5757167
4,14803271
3,49159
4,8421407
1,14563200
2,15658639
1,417920
2,16448063
